O3;T12
63,60;13,40
89,60;15,00
79,00;7,90
81,20;13,10
88,00;14,10
68,40;16,70
139,00;26,80
78,20;18,40
113,80;27,20
41,80;20,60
65,00;21,00
73,00;17,40
126,20;26,90
127,80;25,50
61,60;19,40
63,60;20,80
134,20;29,50
67,20;21,70
87,80;19,70
96,80;19,00
89,60;20,70
66,40;18,00
60,00;17,40
90,80;16,30
104,20;13,60
70,00;15,80
96,20;26,00
65,60;23,50
109,20;26,30
86,20;21,80
87,40;24,80
84,00;25,20
83,00;24,60
59,60;16,80
52,00;17,10
73,80;18,00
129,00;28,90
122,40;23,40
106,60;13,00
121,80;26,00
116,20;24,90
81,40;18,40
88,60;18,70
63,00;20,40
104,00;19,60
88,40;23,20
83,80;19,80
56,40;18,90
50,40;19,70
79,20;21,10
