maxO3;vent
87;Nord
82;Nord
92;Est
114;Nord
94;Ouest
80;Ouest
79;Ouest
79;Nord
101;Nord
106;Ouest
101;Nord
90;Sud
72;Sud
70;Ouest
83;Nord
88;Ouest
145;Ouest
81;Nord
121;Est
146;Sud
121;Nord
146;Est
108;Sud
83;Ouest
57;Ouest
81;Sud
67;Ouest
70;Nord
106;Est
139;Sud
79;Ouest
93;Sud
97;Nord
113;Ouest
72;Ouest
88;Ouest
77;Ouest
71;Ouest
56;Ouest
45;Est
67;Ouest
67;Ouest
84;Sud
63;Ouest
69;Ouest
92;Nord
88;Ouest
66;Sud
72;Ouest
81;Nord
83;Nord
149;Ouest
153;Nord
159;Nord
149;Ouest
160;Sud
156;Ouest
84;Nord
126;Est
116;Sud
77;Ouest
63;Ouest
54;Sud
65;Ouest
72;Ouest
60;Ouest
70;Nord
77;Nord
98;Ouest
111;Ouest
75;Nord
116;Sud
109;Sud
67;Ouest
76;Ouest
113;Sud
117;Sud
131;Ouest
166;Ouest
159;Sud
100;Ouest
114;Est
112;Est
101;Nord
76;Ouest
59;Ouest
78;Nord
76;Ouest
55;Ouest
71;Nord
66;Nord
59;Nord
68;Ouest
63;Ouest
78;Ouest
74;Ouest
71;Nord
69;Nord
71;Nord
60;Nord
42;Nord
65;Ouest
71;Ouest
96;Est
98;Est
92;Nord
76;Ouest
84;Sud
77;Sud
99;Sud
83;Ouest
70;Sud
